"NOMS";"PRENOMS";"PHOTOS";"NATIONALITE";"Temps_L1";"Temps_L2";"Temps_N1";"Temps_N2";"Temps_N3";"Temps_Coupe_France";"Temps_Etranger_Jeunes";"Cartons_jaunes";"Dont_Second_jaunes";"Cartons_rouges";"Agent";"Valeur_Marchande";"URL_Profil";"Date_Naissance";"Position_Principale";"Forme_A";"Pied_Fort";"Taille";"Club_actuel";"Photo_Club";"Pays_Club_actuel";"Titu_25_26";"Nombre_Matchs_Equipe_25_26";"Pourcentage_titu_25_26";"Buts_25_26";"Passes_25_26";"Division_25_26";"Groupes_25_26";"Pays_25_26";"Titu_24_25";"Nombre_Matchs_Equipe_24_25";"Pourcentage_titu_24_25";"Buts_24_25";"Passes_24_25";"Division_24_25";"Groupes_24_25";"Pays_24_25";"Titu_23_24";"Nombre_Matchs_Equipe_23_24";"Pourcentage_titu_23_24";"Buts_23_24";"Passes_23_24";"Division_23_24";"Groupes_23_24";"Pays_23_24";"Titu_22_23";"Nombre_Matchs_Equipe_22_23";"Pourcentage_titu_22_23";"Buts_22_23";"Passes_22_23";"Division_22_23";"Groupes_22_23";"Pays_22_23";"Fin_contrat"
"Quilichini";"Ghjuvanni";"https://img.a.transfermarkt.technology/portrait/header/855050-1629978555.jpg?lm=1";"France";81;450;666;2340;3287;450;270;2;0;1;NA;"";"https://www.transfermarkt.fr/ghjuvanni-quilichini/profil/spieler/855050";"1 sept. 2002 (23)";" / ";"AC Ajaccio";"";"1,82 m";"Bayonne";"https://tmssl.akamaized.net//images/wappen/normquad/8728.png?lm=1710419708";"France";28;30;0,93;0;0;"N2";"A";"France";7;35;0,2;0;0;"L2";"";"France";18;49;0,37;0;0;"N1/L3";"";"France";12;52;0,23;0;0;"L1";"";"France";""
"Portets";"Pierre";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"";0;0;0;4046;7327;540;0;10;0;1;NA;"";"https://www.transfermarkt.fr/pierre-portets/profil/spieler/878695";"16 sept. 1994 (31)";" / ";"Rodez Aveyron Football";"";"1,80 m";"Bayonne";"https://tmssl.akamaized.net//images/wappen/normquad/8728.png?lm=1710419708";"France";5;33;0,15;0;0;"N2";"A";"France";26;29;0,9;0;0;"N3";"CM";"France";25;30;0,83;0;0;"N2";"B";"France";14;26;0,54;0;0;"N3";"NA";"France";""
"Bardy";"Pierre";"https://img.a.transfermarkt.technology/portrait/header/525108-1614112238.JPG?lm=1";"France";0;7097;4119;10864;150;1916;6106;47;2;1;NA;"";"https://www.transfermarkt.fr/pierre-bardy/profil/spieler/525108";"27 août 1992 (33)";"Défenseur central / Arrière droit";"";"";"1,82 m";"Bayonne";"https://tmssl.akamaized.net//images/wappen/normquad/8728.png?lm=1710419708";"France";24;33;0,73;0;0;"N2";"A";"France";25;31;0,81;1;0;"Division étrangère";"";"Étranger";14;22;0,64;1;0;"L2";"";"Étranger";30;49;0,61;0;1;"Division étrangère";"";"Étranger";""
"Cissé";"Ismail";"https://img.a.transfermarkt.technology/portrait/header/970567-1669654501.png?lm=1";"France";0;0;0;2787;6104;691;0;21;1;2;"MVP Sports ...";"";"https://www.transfermarkt.fr/ismail-cisse/profil/spieler/970567";"4 août 2000 (25)";" / ";"FC Chambly";"";"1,94 m";"Bayonne";"https://tmssl.akamaized.net//images/wappen/normquad/8728.png?lm=1710419708";"France";25;33;0,76;2;0;"N2";"A";"France";21;29;0,72;2;0;"N3";"CM";"France";25;28;0,89;1;0;"N3";"NA";"France";8;31;0,26;0;0;"N2";"C";"France";""
"Gassama";"Dembo";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"France";0;0;0;9071;456;712;0;27;0;1;NA;"";"https://www.transfermarkt.fr/dembo-gassama/profil/spieler/682031";"16 nov. 1997 (28)";"Défenseur central / Milieu défensif";"Bergerac Périgord FC";"";"1,79 m";"Bayonne";"https://tmssl.akamaized.net//images/wappen/normquad/8728.png?lm=1710419708";"France";27;33;0,82;0;0;"N2";"A";"France";5;29;0,17;0;0;"N3";"CM";"France";10;30;0,33;0;0;"N2";"B";"France";13;27;0,48;0;1;"N2";"D";"France";""
"Mpata";"Byani";"https://img.a.transfermarkt.technology/portrait/header/894414-1731950738.png?lm=1";"France";0;180;817;1002;4448;354;1429;19;1;0;NA;"";"https://www.transfermarkt.fr/byani-mpata-lama/profil/spieler/894414";"5 nov. 2003 (22)";"Arrière gauche / Milieu gauche";"Valenciennes FC";"";"1,78 m";"Bayonne";"https://tmssl.akamaized.net//images/wappen/normquad/8728.png?lm=1710419708";"France";10;20;0,5;0;0;"N2";"A";"France";19;44;0,43;1;1;"N1/L3";"";"France";22;36;0,61;1;0;"N3";"NA";"France";13;30;0,43;0;0;"N3";"HF";"France";""
"Latron";"Emmanuel";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"France";0;0;0;5963;4648;387;0;21;0;0;NA;"";"https://www.transfermarkt.fr/emmanuel-latron/profil/spieler/768433";"19 avr. 2000 (26)";"Arrière gauche / Milieu gauche";"US Quevilly-Rouen Métropole";"";"1,72 m";"Bayonne";"https://tmssl.akamaized.net//images/wappen/normquad/8728.png?lm=1710419708";"France";28;33;0,85;1;9;"N2";"A";"France";27;34;0,79;0;3;"N2";"A";"France";14;26;0,54;0;0;"N2";"C";"France";25;26;0,96;2;3;"N3";"NO";"France";""
"Ros";"Marius";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"France";0;103;0;5523;2860;48;0;13;0;0;"Talent Sport ...";"";"https://www.transfermarkt.fr/marius-ros/profil/spieler/913674";"15 nov. 2001 (24)";"Arrière droit / Milieu droit";"Montpellier HSC";"";"1,75 m";"Bayonne";"https://tmssl.akamaized.net//images/wappen/normquad/8728.png?lm=1710419708";"France";22;28;0,79;2;2;"N2";"A";"France";18;25;0,72;3;2;"N2";"A";"France";12;51;0,24;0;0;"N3";"GE";"France";19;63;0,3;0;1;"L2";"";"France";""
"Hitte";"Quentin";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"";0;0;0;915;9650;1098;0;5;0;0;NA;"";"https://www.transfermarkt.fr/quentin-hitte/profil/spieler/734735";"12 avr. 1998 (28)";" / ";"";"";"";"Bayonne";"https://tmssl.akamaized.net//images/wappen/normquad/8728.png?lm=1710419708";"France";10;33;0,3;1;2;"N2";"A";"France";29;29;1;0;0;"N3";"CM";"France";15;28;0,54;0;0;"N3";"NA";"France";23;27;0,85;0;1;"N3";"NA";"France";""
"Ducasse";"Florian";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"";0;0;0;307;3146;365;0;11;0;0;NA;"";"https://www.transfermarkt.fr/florian-ducasse/profil/spieler/1195172";"10 juil. 1996 (29)";"Arrière droit / Milieu droit";"";"";"";"Bayonne";"https://tmssl.akamaized.net//images/wappen/normquad/8728.png?lm=1710419708";"France";2;33;0,06;1;0;"N2";"A";"France";20;29;0,69;5;2;"N3";"CM";"France";20;26;0,77;0;0;"N3";"NA";"France";0;0;0;0;0;"";"";"";""
"Laprevotte";"Charles-Élie";"https://img.a.transfermarkt.technology/portrait/header/192886-1630699504.jpg?lm=1";"France";0;0;0;1784;5657;533;16665;51;2;4;NA;"";"https://www.transfermarkt.fr/charles-elie-laprevotte/profil/spieler/192886";"4 oct. 1992 (33)";"Milieu défensif / Milieu central";"SAS Épinal";"";"1,81 m";"Bayonne";"https://tmssl.akamaized.net//images/wappen/normquad/8728.png?lm=1710419708";"France";23;33;0,7;1;1;"N2";"A";"France";24;29;0,83;1;1;"N3";"CM";"France";19;28;0,68;0;0;"N3";"NA";"France";24;27;0,89;1;0;"N3";"NA";"France";""
"Montavit";"Théo";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"";0;0;0;2950;9614;449;0;29;1;3;NA;"";"https://www.transfermarkt.fr/theo-montavit/profil/spieler/961762";"30 juin 1996 (29)";"Milieu défensif / Milieu central";"Stade Poitevin FC";"";"1,77 m";"Bayonne";"https://tmssl.akamaized.net//images/wappen/normquad/8728.png?lm=1710419708";"France";23;33;0,7;6;0;"N2";"A";"France";28;29;0,97;5;2;"N3";"CM";"France";7;30;0,23;1;0;"N2";"B";"France";22;26;0,85;6;1;"N3";"NA";"France";""
"Picoulet";"Valentin";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"France";0;0;0;790;337;216;0;1;0;0;NA;"";"https://www.transfermarkt.fr/valentin-picoulet/profil/spieler/1344421";"18 sept. 2006 (19)";"Milieu défensif / Défenseur central";"";"";"";"Bayonne";"https://tmssl.akamaized.net//images/wappen/normquad/8728.png?lm=1710419708";"France";13;33;0,39;0;2;"N2";"A";"France";3;22;0,14;0;0;"N3";"CM";"France";0;0;0;0;0;"";"";"";0;0;0;0;0;"";"";"";""
"Giacomini";"Alexis";"https://img.a.transfermarkt.technology/portrait/header/395511-1685538782.jpg?lm=1";"France";0;0;3324;4488;2381;813;321;36;0;2;"Supernova Management";"";"https://www.transfermarkt.fr/alexis-giacomini/profil/spieler/395511";"9 août 1998 (27)";"Milieu central / Milieu offensif";"Paris Saint-Germain FC";"";"1,73 m";"Bayonne";"https://tmssl.akamaized.net//images/wappen/normquad/8728.png?lm=1710419708";"France";26;33;0,79;6;3;"N2";"A";"France";25;29;0,86;11;6;"N3";"CM";"France";17;28;0,61;0;2;"N2";"C";"France";14;60;0,23;8;2;"N1/L3";"";"France";""
"Fortunato";"Mario";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"";0;0;0;6914;2348;147;1683;11;0;0;NA;"";"https://www.transfermarkt.fr/mario-fortunato/profil/spieler/796954";"2 juil. 2002 (23)";"Milieu central / Milieu offensif";"";"";"";"Bayonne";"https://tmssl.akamaized.net//images/wappen/normquad/8728.png?lm=1710419708";"France";3;35;0,09;3;0;"N2";"A";"France";25;32;0,78;7;2;"N2";"B";"France";26;26;1;7;2;"N3";"NO";"France";28;30;0,93;5;11;"N2";"A";"France";""
"Nfati";"Mehdi";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"France";0;0;0;1031;2437;237;0;7;0;0;"Othman Nfati";"";"https://www.transfermarkt.fr/mehdi-nfati/profil/spieler/1150825";"25 oct. 2005 (20)";"Milieu central / Milieu défensif";"";"";"";"Bayonne";"https://tmssl.akamaized.net//images/wappen/normquad/8728.png?lm=1710419708";"France";11;33;0,33;3;1;"N2";"A";"France";18;28;0,64;2;1;"N3";"CM";"France";9;26;0,35;2;0;"N3";"NA";"France";0;0;0;0;0;"";"";"";""
"Savignac";"Noa";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"France";0;35;0;214;5305;154;527;11;0;1;NA;"";"https://www.transfermarkt.fr/noa-savignac/profil/spieler/585966";"20 juil. 2002 (23)";"Milieu droit / Milieu gauche";"Toulouse FC";"";"";"Bayonne";"https://tmssl.akamaized.net//images/wappen/normquad/8728.png?lm=1710419708";"France";9;30;0,3;2;0;"N2";"A";"France";10;26;0,38;2;1;"N3";"CM";"France";12;29;0,41;2;0;"N3";"NA";"France";18;70;0,26;6;0;"N3";"OC";"France";""
"De";"Marvin";"https://img.a.transfermarkt.technology/portrait/header/1041958-1701868288.jpg?lm=1";"France";0;680;45;1336;1550;114;1274;14;1;0;NA;"";"https://www.transfermarkt.fr/marvin-de-lima/profil/spieler/1041958";"19 avr. 2004 (22)";"Milieu offensif / Avant-centre";"";"";"1,64 m";"Bayonne";"https://tmssl.akamaized.net//images/wappen/normquad/8728.png?lm=1710419708";"France";18;33;0,55;4;2;"N2";"A";"France";1;17;0,06;0;0;"N1/L3";"";"France";12;42;0,29;2;1;"L2";"";"France";18;80;0,22;4;2;"N3";"NA";"France";""
"Dellas";"Hugo";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"France";0;0;0;0;3599;518;0;8;0;0;NA;"";"https://www.transfermarkt.fr/hugo-dellas/profil/spieler/1101668";"15 janv. 2003 (23)";" / ";"";"";"";"Bayonne";"https://tmssl.akamaized.net//images/wappen/normquad/8728.png?lm=1710419708";"France";12;33;0,36;3;1;"N2";"A";"France";19;29;0,66;2;3;"N3";"CM";"France";13;28;0,46;4;0;"N3";"NA";"France";0;0;0;0;0;"";"";"";""
"Lapeyre";"Thibault";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"France";0;0;0;2400;5774;185;0;1;0;0;NA;"";"https://www.transfermarkt.fr/thibault-lapeyre/profil/spieler/872214";"31 mai 2001 (24)";"Milieu offensif / Ailier droit";"Aviron Bayonnais FC";"";"";"Bayonne";"https://tmssl.akamaized.net//images/wappen/normquad/8728.png?lm=1710419708";"France";3;33;0,09;2;0;"N2";"A";"France";24;31;0,77;4;1;"N2";"A";"France";25;26;0,96;9;0;"N3";"NA";"France";20;27;0,74;6;0;"N3";"NA";"France";""
"Koko";"Anthony";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"";0;0;0;86;1473;0;820;2;0;0;NA;"";"https://www.transfermarkt.fr/anthony-koko/profil/spieler/1084259";"23 mai 2004 (21)";" / ";"";"";"";"Bayonne";"https://tmssl.akamaized.net//images/wappen/normquad/8728.png?lm=1710419708";"France";1;33;0,03;0;0;"N2";"A";"France";0;26;0;0;0;"N3";"CM";"France";3;26;0,12;0;0;"N3";"IF";"France";12;27;0,44;5;1;"N3";"NA";"France";""
"Hattab";"Djibrill";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"France";0;0;37;261;3114;82;552;4;0;0;"PASSE-D";"";"https://www.transfermarkt.fr/djibrill-hattab/profil/spieler/913324";"12 janv. 2002 (24)";" / ";"AJ Auxerre";"";"";"Bayonne";"https://tmssl.akamaized.net//images/wappen/normquad/8728.png?lm=1710419708";"France";12;36;0,33;11;2;"N2";"A";"France";11;26;0,42;13;1;"N3";"PL";"France";10;28;0,36;6;0;"N3";"BF";"France";0;12;0;0;0;"N3";"HF";"France";""
"Saintorens";"Arthur";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"France";0;0;0;1140;0;85;649;1;0;0;"YOU FIRST";"";"https://www.transfermarkt.fr/arthur-saintorens/profil/spieler/1200640";"7 mars 2005 (21)";" / ";"Rodez AF";"";"1,83 m";"Bayonne";"https://tmssl.akamaized.net//images/wappen/normquad/8728.png?lm=1710419708";"France";14;33;0,42;7;2;"N2";"A";"France";0;0;0;0;0;"";"";"";7;57;0,12;5;1;"L1";"";"France";0;0;0;0;0;"";"";"";""
"Valla";"Sofian";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"France";0;0;0;16102;2000;1087;0;37;1;0;NA;"";"https://www.transfermarkt.fr/sofian-valla/profil/spieler/291138";"17 mai 1994 (32)";"Avant-centre / Deuxième attaquant";"";"";"1,78 m";"Bayonne";"https://tmssl.akamaized.net//images/wappen/normquad/8728.png?lm=1710419708";"France";6;14;0,43;1;1;"N2";"A";"France";25;34;0,74;7;2;"N2";"B";"France";26;31;0,84;19;2;"N2";"C";"France";15;31;0,48;3;1;"N2";"A";"France";""
"Pistol";"Nicolas";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"Guadeloupe";0;0;0;7875;4320;450;0;11;0;1;"Naej foot";"";"https://www.transfermarkt.fr/nicolas-pistol/profil/spieler/408322";"16 août 1996 (29)";" / ";"";"";"1,84 m";"Dinan Léhon";"https://tmssl.akamaized.net//images/wappen/normquad/46324.png?lm=1686928652";"France";29;33;0,88;0;0;"N2";"A";"France";30;34;0,88;0;0;"N2";"B";"France";20;29;0,69;0;0;"N2";"B";"France";25;30;0,83;0;0;"N3";"VL";"France";""
"Guyon";"Corentin";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"";0;0;0;403;1510;270;0;4;0;0;NA;"";"https://www.transfermarkt.fr/corentin-guyon/profil/spieler/351786";"28 mai 1995 (30)";" / ";"";"";"1,80 m";"Dinan Léhon";"https://tmssl.akamaized.net//images/wappen/normquad/46324.png?lm=1686928652";"France";0;33;0;0;0;"N2";"A";"France";0;34;0;0;0;"N2";"B";"France";6;31;0,19;0;0;"N2";"C";"France";5;26;0,19;0;0;"N3";"BR";"France";""
"Hamelin";"Téo";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"France";0;0;0;554;8010;930;0;6;0;1;NA;"";"https://www.transfermarkt.fr/teo-hamelin/profil/spieler/877100";"5 juil. 1997 (28)";" / ";"SC Bastia";"";"1,89 m";"Dinan Léhon";"https://tmssl.akamaized.net//images/wappen/normquad/46324.png?lm=1686928652";"France";4;33;0,12;0;0;"N2";"A";"France";24;29;0,83;0;0;"N3";"BR";"France";6;29;0,21;0;0;"N2";"B";"France";8;28;0,29;0;0;"N3";"BR";"France";""
"Coiffic";"Kévin";"https://img.a.transfermarkt.technology/portrait/header/291109-1561048177.jpg?lm=1";"France";0;0;0;4699;4189;821;2083;24;1;2;NA;"";"https://www.transfermarkt.fr/kevin-coiffic/profil/spieler/291109";"18 sept. 1994 (31)";" / ";"";"";"1,88 m";"Dinan Léhon";"https://tmssl.akamaized.net//images/wappen/normquad/46324.png?lm=1686928652";"France";22;33;0,67;1;0;"N2";"A";"France";21;34;0,62;0;0;"N2";"B";"France";15;31;0,48;1;0;"N2";"C";"France";23;26;0,88;1;0;"N3";"BR";"France";""
"Mendy";"Christopher";"https://img.a.transfermarkt.technology/portrait/header/863318-1669820876.jpg?lm=1";"France";0;0;0;1867;5535;176;0;13;0;1;NA;"";"https://www.transfermarkt.fr/christopher-mendy/profil/spieler/863318";"27 mars 1998 (28)";"Défenseur central / Milieu défensif";"";"";"1,93 m";"Dinan Léhon";"https://tmssl.akamaized.net//images/wappen/normquad/46324.png?lm=1686928652";"France";17;33;0,52;0;0;"N2";"A";"France";5;34;0,15;0;0;"N2";"B";"France";13;26;0,5;1;0;"N3";"BR";"France";19;26;0,73;3;0;"N3";"BR";"France";""
"Thiam";"Abdoulkader";"https://img.a.transfermarkt.technology/portrait/header/324839-1692806114.png?lm=1";"Mauritanie";0;567;5214;5644;1501;688;1392;27;3;0;NA;"";"https://www.transfermarkt.fr/abdoulkader-thiam/profil/spieler/324839";"3 oct. 1998 (27)";"Arrière gauche / Défenseur central";"AS Monaco";"";"1,76 m";"Dinan Léhon";"https://tmssl.akamaized.net//images/wappen/normquad/46324.png?lm=1686928652";"France";29;33;0,88;0;0;"N2";"A";"France";14;31;0,45;0;0;"N2";"B";"France";22;37;0,59;0;1;"N1/L3";"";"France";20;42;0,48;0;1;"N1/L3";"";"France";""
"Julien";"Hugo";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"";0;0;0;1935;5185;438;0;18;1;1;"B.S.C";"";"https://www.transfermarkt.fr/hugo-julien/profil/spieler/932490";"26 avr. 2003 (23)";" / ";"";"";"";"Dinan Léhon";"https://tmssl.akamaized.net//images/wappen/normquad/46324.png?lm=1686928652";"France";9;33;0,27;0;0;"N2";"A";"France";13;34;0,38;0;0;"N2";"B";"France";22;27;0,81;1;0;"N3";"BR";"France";25;29;0,86;0;0;"N3";"BR";"France";""
"Lefebvre";"Victor";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"";0;0;0;6530;14055;1564;0;39;0;0;NA;"";"https://www.transfermarkt.fr/victor-lefebvre/profil/spieler/351782";"4 août 1994 (31)";" / ";"";"";"1,77 m";"Dinan Léhon";"https://tmssl.akamaized.net//images/wappen/normquad/46324.png?lm=1686928652";"France";30;33;0,91;6;0;"N2";"A";"France";27;34;0,79;5;1;"N2";"B";"France";25;31;0,81;6;1;"N2";"C";"France";21;26;0,81;9;5;"N3";"BR";"France";""
"Le";"James";"https://img.a.transfermarkt.technology/portrait/header/562564-1610368773.png?lm=1";"France";0;0;7732;13327;8267;3207;0;81;2;1;NA;"";"https://www.transfermarkt.fr/james-le-marer/profil/spieler/562564";"1 janv. 1991 (35)";" / ";"";"";"1,76 m";"Dinan Léhon";"https://tmssl.akamaized.net//images/wappen/normquad/46324.png?lm=1686928652";"France";30;33;0,91;1;1;"N2";"A";"France";29;38;0,76;8;1;"N2";"B";"France";27;30;0,9;2;0;"N2";"C";"France";27;30;0,9;0;0;"N1/L3";"";"France";""
"Biziki";"Thomas";"https://img.a.transfermarkt.technology/portrait/header/743738-1669164797.png?lm=1";"France";0;0;0;6708;2178;476;0;25;1;0;NA;"";"https://www.transfermarkt.fr/thomas-biziki/profil/spieler/743738";"22 mai 1995 (30)";"Arrière droit / Arrière gauche";"Quevilly Rouen Métropole";"";"1,82 m";"Dinan Léhon";"https://tmssl.akamaized.net//images/wappen/normquad/46324.png?lm=1686928652";"France";19;33;0,58;0;1;"N2";"A";"France";22;34;0,65;0;1;"N2";"B";"France";9;28;0,32;0;0;"N2";"D";"France";19;41;0,46;0;0;"N2";"C";"France";""
"Huot";"Alexandre";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"";0;0;0;3680;8110;815;0;38;2;0;NA;"";"https://www.transfermarkt.fr/alexandre-huot/profil/spieler/351771";"5 mars 1993 (33)";"Arrière droit / Défenseur central";"FC Stade Rennes";"";"1,76 m";"Dinan Léhon";"https://tmssl.akamaized.net//images/wappen/normquad/46324.png?lm=1686928652";"France";11;33;0,33;0;1;"N2";"A";"France";20;34;0,59;3;0;"N2";"B";"France";15;31;0,48;2;0;"N2";"C";"France";14;26;0,54;2;0;"N3";"BR";"France";""
"Camara";"Ousoumane";"https://img.a.transfermarkt.technology/portrait/header/478107-1672330165.jpg?lm=1";"France";0;142;0;4314;4602;180;90;19;1;0;NA;"";"https://www.transfermarkt.fr/ousoumane-camara/profil/spieler/478107";"19 déc. 1998 (27)";"Milieu défensif / Milieu central";"AJ Auxerre";"";"1,84 m";"Dinan Léhon";"https://tmssl.akamaized.net//images/wappen/normquad/46324.png?lm=1686928652";"France";2;14;0,14;0;0;"N2";"A";"France";1;17;0,06;0;0;"N2";"A";"France";18;63;0,29;3;1;"N2";"D";"France";17;71;0,24;2;0;"L1";"";"France";""
"Dufouil";"Lino";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"";0;0;0;1257;1822;259;0;12;0;0;NA;"";"https://www.transfermarkt.fr/lino-dufouil/profil/spieler/941201";"27 juil. 1998 (27)";" / ";"";"";"1,88 m";"Dinan Léhon";"https://tmssl.akamaized.net//images/wappen/normquad/46324.png?lm=1686928652";"France";5;33;0,15;0;0;"N2";"A";"France";5;34;0,15;0;0;"N2";"B";"France";5;31;0,16;0;0;"N2";"C";"France";9;26;0,35;0;0;"N3";"BR";"France";""
"Sam";"Saïdou";"https://img.a.transfermarkt.technology/portrait/header/796901-1669162282.png?lm=1";"France";0;0;0;6759;10527;1073;0;42;0;2;NA;"";"https://www.transfermarkt.fr/saidou-sam/profil/spieler/796901";"4 févr. 1995 (31)";"Milieu défensif / Milieu central";"Évreux FC";"";"1,80 m";"Dinan Léhon";"https://tmssl.akamaized.net//images/wappen/normquad/46324.png?lm=1686928652";"France";28;33;0,85;2;1;"N2";"A";"France";27;34;0,79;1;3;"N2";"B";"France";25;31;0,81;0;0;"N2";"C";"France";16;55;0,29;6;0;"N2";"C";"France";""
"Denis";"Max";"https://img.a.transfermarkt.technology/portrait/header/1176376-1751980489.jpg?lm=1";"France";0;0;0;239;0;193;2737;6;0;0;NA;"";"https://www.transfermarkt.fr/max-denis/profil/spieler/1176376";"20 juin 2006 (19)";" / ";"";"";"";"Dinan Léhon";"https://tmssl.akamaized.net//images/wappen/normquad/46324.png?lm=1686928652";"France";4;33;0,12;1;0;"N2";"A";"France";8;43;0,19;0;0;"L1";"";"Étranger";23;40;0,58;3;0;"U19 NAT";"F";"France";0;0;0;0;0;"";"";"";""
"Jacquemin";"Hugo";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"France";0;0;0;5730;7298;777;0;12;0;0;NA;"";"https://www.transfermarkt.fr/hugo-jacquemin/profil/spieler/525093";"18 août 1996 (29)";"Milieu central / Milieu défensif";"Stade Rennais";"";"1,73 m";"Dinan Léhon";"https://tmssl.akamaized.net//images/wappen/normquad/46324.png?lm=1686928652";"France";23;33;0,7;2;0;"N2";"A";"France";22;34;0,65;3;2;"N2";"B";"France";9;31;0,29;1;0;"N2";"C";"France";19;26;0,73;0;1;"N3";"BR";"France";""
"Vermet";"Anthony";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"France";0;0;0;8720;6329;1328;0;17;0;1;NA;"";"https://www.transfermarkt.fr/anthony-vermet/profil/spieler/415895";"9 sept. 1993 (32)";"Milieu offensif / Milieu central";"";"";"1,78 m";"Dinan Léhon";"https://tmssl.akamaized.net//images/wappen/normquad/46324.png?lm=1686928652";"France";16;33;0,48;7;4;"N2";"A";"France";26;34;0,76;6;1;"N2";"B";"France";24;31;0,77;10;0;"N2";"C";"France";25;26;0,96;18;3;"N3";"BR";"France";""
"El";"Mahmoud";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"Égypte";0;0;0;1827;1037;692;0;1;0;0;NA;"";"https://www.transfermarkt.fr/mahmoud-el-wakil/profil/spieler/1268022";"15 mai 2002 (24)";"Ailier gauche / Ailier droit";"";"";"";"Dinan Léhon";"https://tmssl.akamaized.net//images/wappen/normquad/46324.png?lm=1686928652";"France";16;33;0,48;7;11;"N2";"A";"France";24;33;0,73;6;6;"N2";"A";"France";1;1;1;0;0;"Division étrangère";"";"France";0;0;0;0;0;"";"";"";""
"Julien";"Ely";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"France";0;0;0;1586;1822;249;890;7;0;0;NA;"";"https://www.transfermarkt.fr/ely-julien/profil/spieler/1070115";"15 sept. 2002 (23)";" / ";"";"";"";"Dinan Léhon";"https://tmssl.akamaized.net//images/wappen/normquad/46324.png?lm=1686928652";"France";18;33;0,55;5;2;"N2";"A";"France";26;28;0,93;4;4;"N3";"BR";"France";0;0;0;0;0;"";"";"";0;1;0;0;0;"Division étrangère";"";"France";""
"Touré";"Damani";"https://img.a.transfermarkt.technology/portrait/header/955374-1638893700.jpg?lm=1";"France";0;0;0;1899;3829;280;0;9;1;0;"MY ELEVEN CONSULTING";"";"https://www.transfermarkt.fr/damani-toure/profil/spieler/955374";"26 juil. 2001 (24)";" / ";"AAS Sarcelles";"";"1,85 m";"Dinan Léhon";"https://tmssl.akamaized.net//images/wappen/normquad/46324.png?lm=1686928652";"France";18;33;0,55;6;5;"N2";"A";"France";21;29;0,72;7;2;"N3";"VL";"France";17;26;0,65;4;0;"N3";"BR";"France";6;31;0,19;5;0;"N3";"BR";"France";""
"Eneme-Ella";"Ulrick";"https://img.a.transfermarkt.technology/portrait/header/484994-1672670192.jpg?lm=1";"Gabon";0;0;82;1091;967;44;4445;8;0;0;NA;"";"https://www.transfermarkt.fr/ulrick-eneme-ella/profil/spieler/484994";"22 mai 2001 (24)";" / ";"Red Bull Salzburg";"";"1,84 m";"Dinan Léhon";"https://tmssl.akamaized.net//images/wappen/normquad/46324.png?lm=1686928652";"France";1;33;0,03;2;0;"N2";"A";"France";0;29;0;0;0;"N1/L3";"";"France";9;26;0,35;6;0;"N2";"B";"France";0;33;0;0;0;"Division étrangère";"";"Étranger";""
"Bongo";"Noah";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"Gabon";0;0;174;4953;1388;193;0;23;0;0;NA;"";"https://www.transfermarkt.fr/noah-bongo/profil/spieler/669785";"18 févr. 1999 (27)";" / ";"US Boulogne Côte d'Opale   Il débute le football à 17 ans.";"";"2,03 m";"Dinan Léhon";"https://tmssl.akamaized.net//images/wappen/normquad/46324.png?lm=1686928652";"France";23;33;0,7;9;4;"N2";"A";"France";11;27;0,41;4;3;"N2";"A";"France";11;26;0,42;4;0;"N2";"A";"France";7;31;0,23;3;0;"N2";"C";"France";""
